Nº da Venda,Vendedor,Marca,Modelo,Valor Venda,Valor Comissão,Região
3073,Chico,Volkswagen,Fox,19800,1100,Norte
3023,Chico,Chevrolet,Astra,19800,1100,Norte
3020,Chico,Volkswagen,Gol,19700,1300,Norte
3090,Chico,Ford,Focus,18300,1200,Norte
3014,Chico,Fiat,Uno,15000,1500,Sul
3005,Chico,Chevrolet,Corsa,13300,1500,Sul
3045,Chico,Fiat,Uno,11300,1500,Sul
3051,Chico,Volkswagen,Polo,11300,1200,Sul
3039,Chico,Ford,Ka,11100,1300,Sul
3063,Bob,Fiat,Uno,17200,1300,Leste
3088,Bob,Volkswagen,Gol,14800,1200,Leste
3045,Bob,Ford,Ka,14200,1400,Leste
3088,Bob,Volkswagen,Fox,13000,1100,Oeste
3002,Bob,Ford,Focus,12700,1300,Oeste
3078,Bob,Chevrolet,Astra,12400,1200,Oeste
3085,Bob,Volkswagen,Gol,11100,1100,Leste
3016,Bob,Chevrolet,Celta,10700,1300,Leste
3067,Bob,Chevrolet,Corsa,10400,1100,Oeste
3041,Ninja,Chevrolet,Corsa,19400,1500,Centro
3043,Ninja,Ford,Ka,18600,1400,Centro
3094,Ninja,Volkswagen,Gol,17100,1500,Centro
3024,Ninja,Ford,Ka,15500,1100,Centro
3024,Ninja,Fiat,Uno,15100,1400,Centro
3022,Ninja,Volkswagen,Polo,12600,1100,Centro
3066,Ninja,Chevrolet,Astra,12000,1400,Sul
3099,Ninja,Chevrolet,Corsa,11600,1400,Sul
3050,Ninja,Volkswagen,Gol,10700,1400,Centro
3028,Ninja,Ford,Focus,10000,1300,Centro
3073,Chico,Volkswagen,Fox,19800,1100,Norte
3023,Chico,Chevrolet,Astra,19800,1100,Norte
3020,Chico,Volkswagen,Gol,19700,1300,Norte
3090,Chico,Ford,Focus,18300,1200,Norte
3014,Chico,Fiat,Uno,15000,1500,Sul
3005,Chico,Chevrolet,Corsa,13300,1500,Sul
3045,Chico,Fiat,Uno,11300,1500,Sul
3051,Chico,Volkswagen,Polo,11300,1200,Sul
3039,Chico,Ford,Ka,11100,1300,Sul
3063,Bob,Fiat,Uno,17200,1300,Leste
3088,Bob,Volkswagen,Gol,14800,1200,Leste
3045,Bob,Ford,Ka,14200,1400,Leste
3088,Bob,Volkswagen,Fox,13000,1100,Oeste
3002,Bob,Ford,Focus,12700,1300,Oeste
3078,Bob,Chevrolet,Astra,12400,1200,Oeste
3085,Bob,Volkswagen,Gol,11100,1100,Leste
3016,Bob,Chevrolet,Celta,10700,1300,Leste
3067,Bob,Chevrolet,Corsa,10400,1100,Oeste
3041,Ninja,Chevrolet,Corsa,19400,1500,Centro
3043,Ninja,Ford,Ka,18600,1400,Centro
3094,Ninja,Volkswagen,Gol,17100,1500,Centro
3024,Ninja,Ford,Ka,15500,1100,Centro
3024,Ninja,Fiat,Uno,15100,1400,Centro
3022,Ninja,Volkswagen,Polo,12600,1100,Centro
3066,Ninja,Chevrolet,Astra,12000,1400,Sul
3099,Ninja,Chevrolet,Corsa,11600,1400,Sul
3050,Ninja,Volkswagen,Gol,10700,1400,Centro
3028,Ninja,Ford,Focus,10000,1300,Centro
3073,Chico,Volkswagen,Fox,19800,1100,Norte
3023,Chico,Chevrolet,Astra,19800,1100,Norte
3020,Chico,Volkswagen,Gol,19700,1300,Norte
3090,Chico,Ford,Focus,18300,1200,Norte
3014,Chico,Fiat,Uno,15000,1500,Sul
3005,Chico,Chevrolet,Corsa,13300,1500,Sul
3045,Chico,Fiat,Uno,11300,1500,Sul
3051,Chico,Volkswagen,Polo,11300,1200,Sul
3039,Chico,Ford,Ka,11100,1300,Sul
3063,Bob,Fiat,Uno,17200,1300,Leste
3088,Bob,Volkswagen,Gol,14800,1200,Leste
3045,Bob,Ford,Ka,14200,1400,Leste
3088,Bob,Volkswagen,Fox,13000,1100,Oeste
3002,Bob,Ford,Focus,12700,1300,Oeste
3078,Bob,Chevrolet,Astra,12400,1200,Oeste
3085,Bob,Volkswagen,Gol,11100,1100,Leste
3016,Bob,Chevrolet,Celta,10700,1300,Leste
3067,Bob,Chevrolet,Corsa,10400,1100,Oeste
3041,Ninja,Chevrolet,Corsa,19400,1500,Centro
3043,Ninja,Ford,Ka,18600,1400,Centro
3094,Ninja,Volkswagen,Gol,17100,1500,Centro
3024,Ninja,Ford,Ka,15500,1100,Centro
3024,Ninja,Fiat,Uno,15100,1400,Centro
3022,Ninja,Volkswagen,Polo,12600,6000,Centro
3066,Ninja,Chevrolet,Astra,12000,1400,Sul
3099,Ninja,Chevrolet,Corsa,11600,1400,Sul
3050,Ninja,Volkswagen,Gol,10700,1400,Centro
3028,Ninja,Ford,Focus,10000,1300,Centro
3073,Chico,Volkswagen,Fox,19800,1100,Norte
3023,Chico,Chevrolet,Astra,19800,1100,Norte
3020,Chico,Volkswagen,Gol,19700,1300,Norte
3090,Chico,Ford,Focus,18300,1200,Norte
3014,Chico,Fiat,Uno,15000,1500,Sul
3005,Chico,Chevrolet,Corsa,13300,1500,Sul
3045,Chico,Fiat,Uno,11300,1500,Sul
3051,Chico,Volkswagen,Polo,11300,1200,Sul
3039,Chico,Ford,Ka,11100,1300,Sul
3063,Bob,Fiat,Uno,17200,1300,Leste
3088,Bob,Volkswagen,Gol,14800,1200,Leste
3045,Bob,Ford,Ka,14200,1400,Leste
3088,Bob,Volkswagen,Fox,13000,1100,Oeste
3002,Bob,Ford,Focus,12700,1300,Oeste
3078,Bob,Chevrolet,Astra,12400,1200,Oeste
3085,Bob,Volkswagen,Gol,11100,1100,Leste
